consensus_start	consensus_stop	note	note
5070	5095	26 bp;mummer_exact	mummer_exact
8163	8182	20 bp;mummer_exact	mummer_exact
9569	9588	20 bp;mummer_exact	mummer_exact
16094	16438	345 bp;camila	"ID=to_be_set;note=Similar to bacteriophage PS3 gp13 13 TR:O80283	note=Similar to bacteriophage PS3 gp13 13 TR:O80283"
57215	57251	37 bp;mummer_exact	mummer_exact
57273	57298	26 bp;mummer_exact	mummer_exact
63544	63648	105 bp;mummer_exact	mummer_exact
63687	66820	3134 bp;mummer_exact	mummer_exact
71725	71745	21 bp;mummer_exact	mummer_exact
72343	72368	26 bp;mummer_exact	mummer_exact
80799	80821	23 bp;mummer_repeat	ID=to_be_set;note=repeated+at+2638925..2638903+%28100%+in+23+bp%29;colour=1
81497	81534	38 bp;mummer_exact	mummer_exact
85246	85275	30 bp;mummer_repeat	ID=to_be_set;note=repeated+at+3243622..3243593+%28100%+in+30+bp%29;colour=1
85296	85317	22 bp;mummer_exact	mummer_exact
91658	91677	20 bp;mummer_exact	mummer_exact
91892	91962	71 bp;mummer_exact	mummer_exact
93755	93777	23 bp;mummer_exact	mummer_exact
94940	95067	128 bp;mummer_exact	mummer_exact
95097	95137	41 bp;mummer_exact	mummer_exact
98149	98171	23 bp;mummer_exact	mummer_exact
101156	101219	64 bp;mummer_exact	mummer_exact
109055	109105	51 bp;mummer_exact	mummer_exact
115571	116011	441 bp;camila	ID=to_be_set;note=putative IS element transposase
116031	117239	1209 bp;camila	ID=to_be_set;note=putative IS element transposase
118811	118841	31 bp;mummer_exact	mummer_exact
118984	119010	27 bp;mummer_exact	mummer_exact
119363	119395	33 bp;mummer_exact	mummer_exact
120469	120488	20 bp;mummer_exact	mummer_exact
123546	123565	20 bp;mummer_exact	mummer_exact
124795	124832	38 bp;mummer_exact	mummer_exact
125125	125145	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+2757722..2757702+%28100%+in+21+bp%29;colour=1
125443	125462	20 bp;mummer_exact	mummer_exact
130384	130416	33 bp;mummer_exact	mummer_exact
134937	134956	20 bp;mummer_exact	mummer_exact
138007	138030	24 bp;mummer_exact	mummer_exact
139398	139417	20 bp;mummer_exact	mummer_exact
139534	139559	26 bp;mummer_exact	mummer_exact
173960	173981	22 bp;mummer_exact	mummer_exact
175437	175456	20 bp;mummer_exact	mummer_exact
175782	175802	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+616363..616343+%28100%+in+21+bp%29;colour=1
179520	179539	20 bp;mummer_exact	mummer_exact
182149	182201	53 bp;mummer_exact	mummer_exact
182458	182483	26 bp;mummer_exact	mummer_exact
182581	182602	22 bp;mummer_exact	mummer_exact
182764	182813	50 bp;mummer_exact	mummer_exact
182884	182905	22 bp;mummer_exact	mummer_exact
184053	184072	20 bp;mummer_exact	mummer_exact
191662	191684	23 bp;mummer_exact	mummer_exact
193549	193568	20 bp;mummer_exact	mummer_exact
204776	204795	20 bp;mummer_exact	mummer_exact
205742	205761	20 bp;mummer_exact	mummer_exact
209266	209330	65 bp;mummer_exact	mummer_exact
211548	211567	20 bp;mummer_exact	mummer_exact
213344	213363	20 bp;mummer_exact	mummer_exact
222925	222946	22 bp;mummer_repeat	ID=to_be_set;note=repeated+at+1378842..1378863+%28100%+in+22+bp%29;colour=1
225205	225225	21 bp;mummer_repeat	ID=to_be_set;note=repeated+at+737463..737483+%28100%+in+21+bp%29;colour=1
227867	227888	22 bp;mummer_exact	mummer_exact
